문화	culture
특징	special characteristic
대표적이다	to be representative; delegate
공통점이 있다	to have something in common
차이가 있다	to be a difference; distinction
전퉁을 지키다	to uphold tradtion
영향을 받다	to be influenced; affected
독특하다	to be unique
흥미롭다	to be exciting
단순하다	to be simple; naïve
평범하다	to be ordinary
흔하다	to be commonplace
직업별	career-wise
분야별	by field
지역별	by region
나이별	by age
나라별	by country
찻잔	tea cup
디자인	design
필요 없다	to not have need
벼룩시장	flea market
트렁크	trunk
싣다	to lad; carry
들르다	to stop by
두리안	durian
야시장	night market
향초	herb; incense
향	scent
정사각형	square
수상시장	floating market
대륙	continent
다양하다	to be diverse
민속놀이	folk games
한강시민공원	Han River park
체험 행사	hands-on experience
부채춤	Korean fan dance
탈춤	Korean mask dance
장구춤	Jangu Drum dance
민속춤	folk village
관련	relation; connection
보유하다	to have and hold
따르다	to comply; obey
재산	property; wealth
물려받다	to inherit; succeed
실뜨기	cat's cradle game
즐겨하다	to enjoy; please
실	thread
단순하다	to be simple
평범하다	to be ordinary; common
두뇌 발달	brain development
효과가 있다	to be effective; have an effect
엄지	thumb
새끼손가락	little finger
걸다	to hang
당기다	to pull; tug
줄넘기	jumprope
숨바꼭질	hide-and-seek
구슬치기	marbles
준비물	materials to prepare
술래	tagger; "it"
사투리	dialect
관심을 갖다	to pay attention; to give a care for
출신	origin
역양	intonation; accent
말투	one's way of speaking
표준어	standard language
분명하다	to be clear; distinct
무뚝뚝하다	to be curt; blunt
감탄사	interjection; exclamation
끌다	to pull; draw out
점잖다	to be gentle
특색	distinct characteristic
보존하다	to preserve
원인	cause
교류	exchange; interchange
돌려 말하다	to be around the bush
주장을 내세우다	to insist on
반복하다	to repeat; iterate
현대인	contemporary man
가정을 이루다	to start a family/home
방식	way; method
구성하다	to compose; construct
한족	Han
좡족	Chuang
다수	many; majority
소수민족	minority race
남서부	southwest
주변	surroundings
집안	household
가장	most; best
존재하다	to exist
이모	aunt; mother's sister
손녀	granddaughter
외삼촌	uncle
외손자	grandson
성인식	coming of age celebration
키우다	to raise; bring up
의무	obligation; duty
야크를 치다	to strike a yak?
세월	time
형태	shape; form
대문	gate
막대기	a stick; rod
