공무원	Public officer
안정적이다	To be stable
철밥통	Iron bowl
시급	Hourly pay rate
주급	Weekly pay rate
보너스	Bonus
상여금	Bonus 2
일당	Daily pay
보수	Wage 2
임금	Wage
연봉이 높다	To have a high salary
복지	Benefits
안정성	Stability
복지가 좋다	To have good benefits
자아실현	Self-actualization
발전 가능성	Advancement Oppurtunity
전망이 있다	To have prospects
고려하다	To consider
실업	Unemployment
실업자	Unemployed person
근무 시간	Work hours
일반 사무직	General office work
회계사	Accountant
적당하다	To be adequate
선호하다	To prepare
직장	Job
취업	Employment
적성	Aptitude
입사하다	To join a company
선택하다	To make a choice
결혼정보회사	Marriage information company
전국	Nationwide
배우자상	Ideal spouse
결혼 의식	Marriage rites
설문조사	Survey
응답자	Respondents
교사	Teacher
공사 직원	Worker
약사	Pharmacist
변리사	Patent attorney
면접관	Interviewer
세무사	Tax accountant
수계산	Mental Maths
경제력	Economic power
번역자	Translator
광고	Advertisement
성과	Performance
유치원	Kindergarten
구직자	Work seeker
실적	Performance 2
바람을 느끼다	Have a good feeling
노인	Elderly
규칙적이다	To be regular
화장을 지우다	To remove makeup
출퇴근 시간이 일정함	To have constant rush hour
정년	Retirement age
보험	Insurance
능력 발휘	Skills
이동통신사	Operator
출장	Business trip
야근	Overtime
승진	Promotion
조기 퇴직	Early retirement
건설 회사	Construction company
출퇴근 시간이 규칙직한 편	Fairly regular work hours
지방 현장	Local scene
장기간 근무	Long term assignment
해외현장	Overseas site
육체적	Physical
판매하다	To sell
희망하다	To hope
부딪하다	To get hit
실제적이다	To be practical
최대하다	To maximise
일의 연장	Work extension
상하관계	Relationship between employees and boss
엄견하다	To be tough
상사의 명령	Order of superiority
파악하다	To apprehend
소실	Vanishing
힘듦	Laboriousness 
창업	Business startup
면접	Interview
회사명	Corporate Name
무집	Uncollected
부문	Sector
인원	Personnel
자격	Qualification
경력	Career
전형	Epitome
제출	Submission
기한	Deadline
동종	Same kind
업계	Industry
이상	More than
능통한	Fluent
인재	Talented person
모시다	To wait on
하늘의 뼐따기	To be very difficult
직업에는 귀천이 없다	Every occupation deserves respect
쥐꼬리만 하다	To work for pittance
돈 방석에 앉다	To sit on a pile of money
목 구멍이 포도청이다	I must work hard to keep my head above water
출장	Business trip
능통하다	To be proficient
경력 사원	Experienced employee
일정하다	To be constant
지원하다	To support
쥐꼬리만하다	To be pittance
엄격하다	To be strict
실현하다	To realize
인재를 모집하다	To gather fresh talent
면접을 보다	To interview
손실을 입다	To suffer a loss
옷차림	Dress
