가슴이 찢어지다	heart break (broken heart)
각광을 받다	to be in the limelight, take center stage
고개가 수그러지다	to bow (someone's) head in respect
고배를 마시다	to go through an ordeal
골머리를 썩다	things causing a headache
골탕을 먹다	to lose out, have a bitter experience, be cheated
귀가 솔깃하다	ear-catching story
기세를 떨치다	to become well known for bravery (vigor, force, spirit)
꼬리를 물다	to follow after another
꼬리를 밟히다	an evil deed will be discovered (i.e. to be found out)
눈독을 들이다	to have one's eye on
눈에 넣어도 아프지 않다	to be the apple of one's eye
눈에 불을 켜다	lean and mean
눈을 돌리다	turn one's eyes, grab one's attention
다리를 놓다	to arrange a match (match making)
