견해	opinion, view
결과물	product, output, result
결식	malnourishment
결실을 맺다/보다	come to fruition
결심	determination
결점	flaw
결정	decision
결제	payment
결핍	lack, deficiency, absence of sth
결항	cancellation
경력자	a person with experience
경련	convulsion, spasm, twitch
경로	course, route, path
경력	career, work experience
경매	auction
경보	alarm
경비실	security office
경사	hill, incline; hurdle
경영	management, administration
경영난	financial difficulties (of a company)
경영자	manager, executive
경영진	board of directors, management
경우	case, circumstances
경이	a wonder, marvel
경쟁	competition
경쟁률	competition rate
경쟁심	competitive spirit
경쟁자	competitor
경제	economy
경제력	financial means, economic power
경품	giveaway
경향	tendency, trend
계곡	valley
계발	development, invention
계약서	contract
계층	class (i.e. working class)
계획서	plan
고개	neck and head
고객	customer
고견	another person's opinion, view
고급	high quality; high pay
고난	hardship (not ...생)
고대인	ancient people, civilization
고령	old age
고민	worry, anxiety
고부가가치	high value
고생	hardship (not 고난)
고소	accusation, charge
고속	high speed
고시	official anouncement; exam (usually related to the state)
고심해서	painstakingly
고위	high rank
고유의	indigenous, inherent
고충	dilemma, predicament, problem
고통	pain, agony, torment, torture
곡	song, a piece of music
곡선	curve
곤경	difficult situation, predicament, fix, jam
곤궁	poverty, want (not 가난)
곤충	insect
골머리	headache, bother
고혈압	hypertension (high blood pressure)
골절	fracture
골칫거리	a trouble, terror, nuisance, headache
곳곳	everywhere, high and low, here and there
공감	sympathy
공격	attack, offense
공격적	aggressive
공고문	notice
공공의	public
공기업	public enterprise
공동	joint, communal
공략하다	to target, attack
공로	service, contribution, good deed
공모	contest
공모전	art contest
공무원	civil servant
공법	construction method; public law
공약	pledge, promise, commitment
공연장	theater, auditorium, concert hall
공유	sharing
공익	common good, public interest
공인	public figure
공지	official announcement
공청회	public hearing
공통	common
공포심	fear, horror
공표	official announcement, proclamation (through speech, not writing)
공학	engineering
공휴일	national holiday
과대	exaggeration
과속	speeding, driving too fast
관객	audience
관계자	the persons/parties concerned
관광객	tourist
관념	idea, sense, concept, notion, impression
관람객	spectator
관련	relation, connection, association
관리자	supervisor
관찰	observation
