외모	appearance
인상	impression
첫인상	first impression
단발머리	bobbed, short hair
생머리	straight hair
파마머리	permed hair
갸름하다	oval (as in face)
마르다	very thin
체격이 좋다	to have good physique
사교적이다	to be sociable
솔직하다	to be candid, frank
얌전하다	to be modest, shy (female)
유머 감각이 있다	to have a sense of humor
적극적이다	to be active, outgoing
점잖다	to be gentle, very polite (male)
활동적이다	to be active, energetic
묘사하다	to describe, represent
어떻게 생겼는데?	how does he/she look?
무스를 바르다	to apply mousse
잘생기다	to be good looking
대화가 통하다	to have good conversations
얼마 전에	not long ago
이성 친구	a love interest
-에 얼마나 신경을 쓰는데	to care a lot about appearance
능력	capability
능력이 있다	to be very capable
명함	business card
-이,가 넘다	to exceed
생각을 깊게 하다	to think deeply
다양하다	to be diverse, varied
절대	never, absolutely not
눈이 높다	to be too picky
발이 넓다	to have a wide circle of friends
입이 무겁다	to be good at keeping secrets
비밀을 지키다	to keep a secret
둥글다	round in shape
날씬하다	to be slim
뚱뚱하다	To be fat
달걀형이다	to be egg shaped (face)
네모나다	to be square shaped (face)
튼튼하다	to be strong, solid, sturdy
통통하다	to be chubby
성격	personality, character
이해심이 많다	to be very understanding
적극적이다	to be active
바르다	to apply
드라이하다	to dry (hair)
동호회	an association of like-minded people
깊다	to be deep
생각이 깊다	to be thoughtful and considerate
