아파트	apartment
기숙사	dormitory
원룸	one-room apartment
주택	house
하숙집	boarding house
거실	living room
부엌	kitchen
샤워실	shower stall
가구	furniture
싱크대	a sink
옷장	wardrobe
침대	bed
가스가 들어와요	the gas works (now)
난방이 되다	to have heating
물이 나오다	to have water
물이 내려가다	to have the water drain
불이 들어와요	the light works (now)
비가 새다	to leak (when raining)
창문이 닫히다	to be closed (window)
보증금	a deposit
부동산	real estate agency
부동산 중개인	real estate agent
쇼핑센터	shopping center
월세	monthly rent
전세	lease of a house on deposit basis
주택가	residential area
집주인	owner of the house
뜨겁다	to be hot
주변 환경	nearby amenities
공기가 맑다	the air is clear/fresh
전망이 좋다	to have a good view
장단점	strong and weak points
힘든 점	point of difficulty
구하다	to look for/seek
제안하다	to suggest/propose
불친절하다	to be unfriendly
지저분하다	to be messy
반씩 내다	to pay fifty-fifty
뭘 그렇게 열심히 보고 있어?	what are you looking at so carefully? (informal speech)
우리 이렇게 하면 어떨까?	how about if we do this? (informal speech)
가족적	family-like atmosphere
공동생활	living together with others
비	a fee
매점	a stall
관리비	building maintenance fees
기숙사비	dormitory fees
요금	a rate-a charge
가스 요금	gas rate
수도 요금	water rate
전기 요금	electricity rate
정도	about/degree
추첨	lottery
운영하다	to run a business
-이,가 포함되다	to be included
각각	each - separately
따로	separately - apart
미리	in advance
2인 1실	double occupancy
추첨에서 떨오지다	to lose in a lottery
여러분께 도움이 되면 좋겠습니다	I hope this advice will be of help to you.
