자선	charity (자혜/애휼)
자질	qualification (자격/조건)
자태	figure (모습/자세)
잡념	distracting thoughts
잡음	noise (소음/원소)
저항	resistance (거부/반항)
적응	adaptation (순응)
적정	reasonableness (알맞은 정도)
전략	strategy (전술/무략/병략)
전망	view/forecast (조망/관망/경관)
절약	savings (긴축/절감)
절차	procedure (순서/차례)
정복	conquest (정벌/극복)
정비	maintenance/organize (수정/영선/지탱)
정식	formal (본식/의식)
정의	definition (뜻)
정의	justice (공평성/정당/도리)
정책	policy (시책/방책/방침)
정화	purification (정제)
정황	situation (상황/정상/정경)
제격	perfect for (적격/안성맞춤)
제도	system (시스템/법제)
제약	restriction (통제/구속/제한)
제자리걸음	remain stationary
조망	view (전망/조람)
조화	harmony (어울림)
존폐	(whether to) continue or eliminate
주목	attention (주시/각광)
주범	main culprit
주체	main agent (핵심/중심)
