공익	public good (공동의 이익)
공존	coexistence (공생/병존/양립)
과찬	adulation (영합/아유/따리/편녕)
관념	notion (개념)
관용	generosity (아량/관면/도량/활달)
관행	customary practice (관습/습관/풍속/풍습)
궁핍	poverty (가난/궁색/곤궁/빈곤/구차)
귀감	role model (모범/본보기)
균형	balance (평형)
근검절약	thrift and saving
기량	ability (재주/능력/솜씨)
기반	base (기틀/기초/터전)
기세	force (강요/힘/위력)
기우	unfounded fear
기질	disposition (성향/경향/성품)
기치	banner (플래카드/현수막)
기틀	base (기반/기초/바탕)
기품	dignity (품격/품위/위엄/위신)
까닭	reason (이유/근거/원인)
꼬투리	fault (트집/탓)
남녀노소	regardless of age or sex
낌새	sign (기미/조짐/분위기/느낌)
나름	depend on
나위	worth (가치/값어치/주가)
낭패	failure (실패/파탄/파산)
노후	one's later years (만년/노후대책)
논거	grounds for an argument
논란	controversy (논쟁/항론/논파/의론)
논쟁	argument (논란/논의/논란)
논점	point (본론/논지)
