특집	1feature/2special edition (특별판)
틈새	crack (틈/간격/균열/흠)
파급	spread/influence (영향/전이/전파/확산)
파동	1shock/crisis/2wave (1난국/고비/위기)
판단	judgment (심판/판결/판정/판별)
판독	decipherment (해독)
판정	judgment (판단/심판/판결/판별)
패기	ambition (포부/야심애밍애욕/욕망)
팽창	expansion (확충/확대/확장)
편식	to eat only what one wants
평생	lifetime (일생/생애)
폐기물	waste (쓰레기)
포부	ambition (희망/계획/야망/패기)
포용	magnanimity (도량/관용/아량/금도)
폭력	violence (폭행/폭거/행포)
표창	commendation (추장)
품격	dignity (품위/위엄/위신/격)
풍모	appearance (모습/용모/풍채)
핀잔	scolding (꾸중/꾸지람/야단)
핑계	excuse (변명)
하자	flaw (결점/결함/단점)
한복판	middle/center (가운데/중앙/중간)
함양	cultivation (양성/육성)
항목	article (조/항/조항/사항)
향수병	homesickness (회향병)
허구	fiction (허위)
현황	present condition (현상)
협조	cooperation (협동/협업/합동/합작/공조)
형편	circumstances (상황/정황/환경/사정)
혜택	benefit (이익/이득/이점/수혜)
